npi_clean,summary_year,rndrng_prvdr_type,tot_benes,tot_srvcs,tot_sbmtd_chrg,tot_mdcr_alowd_amt,tot_mdcr_pymt_amt,tot_mdcr_stdzd_amt,tot_benes_missing,tot_srvcs_missing,tot_sbmtd_chrg_missing,tot_mdcr_alowd_amt_missing,tot_mdcr_pymt_amt_missing,tot_mdcr_stdzd_amt_missing,srvcs_per_bene,sbmtd_chrg_per_bene,alowd_amt_per_bene,pymt_amt_per_bene,sbmtd_chrg_per_srvc,alowd_amt_per_srvc,pymt_amt_per_srvc,sbmtd_to_alowd_ratio,alowd_to_pymt_ratio,stdzd_to_pymt_ratio,sbmtd_to_pymt_ratio,log1p_tot_benes,log1p_tot_srvcs,log1p_tot_sbmtd_chrg,log1p_tot_mdcr_alowd_amt,log1p_tot_mdcr_pymt_amt,log1p_tot_mdcr_stdzd_amt,log1p_srvcs_per_bene,log1p_sbmtd_chrg_per_bene,log1p_alowd_amt_per_bene,log1p_pymt_amt_per_bene,log1p_sbmtd_chrg_per_srvc,log1p_alowd_amt_per_srvc,log1p_pymt_amt_per_srvc,tot_benes_specialty_year_median,tot_benes_minus_specialty_year_median,tot_benes_specialty_year_pct_rank,tot_srvcs_specialty_year_median,tot_srvcs_minus_specialty_year_median,tot_srvcs_specialty_year_pct_rank,tot_sbmtd_chrg_specialty_year_median,tot_sbmtd_chrg_minus_specialty_year_median,tot_sbmtd_chrg_specialty_year_pct_rank,tot_mdcr_alowd_amt_specialty_year_median,tot_mdcr_alowd_amt_minus_specialty_year_median,tot_mdcr_alowd_amt_specialty_year_pct_rank,tot_mdcr_pymt_amt_specialty_year_median,tot_mdcr_pymt_amt_minus_specialty_year_median,tot_mdcr_pymt_amt_specialty_year_pct_rank,tot_mdcr_stdzd_amt_specialty_year_median,tot_mdcr_stdzd_amt_minus_specialty_year_median,tot_mdcr_stdzd_amt_specialty_year_pct_rank,srvcs_per_bene_specialty_year_pct_rank,sbmtd_chrg_per_bene_specialty_year_pct_rank,alowd_amt_per_bene_specialty_year_pct_rank,pymt_amt_per_bene_specialty_year_pct_rank,sbmtd_to_alowd_ratio_specialty_year_pct_rank,alowd_to_pymt_ratio_specialty_year_pct_rank,sbmtd_to_pymt_ratio_specialty_year_pct_rank,flag_top1pct_tot_srvcs_within_specialty_year,flag_top5pct_tot_srvcs_within_specialty_year,flag_top1pct_tot_mdcr_pymt_amt_within_specialty_year,flag_top5pct_tot_mdcr_pymt_amt_within_specialty_year,flag_top1pct_tot_mdcr_alowd_amt_within_specialty_year,flag_top5pct_tot_mdcr_alowd_amt_within_specialty_year,flag_top1pct_srvcs_per_bene_within_specialty_year,flag_top5pct_srvcs_per_bene_within_specialty_year,flag_top1pct_sbmtd_to_pymt_ratio_within_specialty_year,flag_top5pct_sbmtd_to_pymt_ratio_within_specialty_year,risk_score,risk_rank,risk_percentile
1003002486,2023,Chiropractic,14,150.0,7500.0,5580.5,3595.52,3877.19,0,0,0,0,0,0,10.714285714285714,535.7142857142857,398.6071428571428,256.8228571428571,50.0,37.20333333333333,23.970133333333333,1.3439655944807811,1.5520703542185832,1.0783391553933783,2.085929156283375,2.70805020110221,5.017279836814924,8.922791623969637,8.627212836454786,8.187721990253996,8.263123828929388,2.46080909820894,6.285465896518655,5.990481921632517,5.552272748882253,3.9318256327243257,3.642922771840498,3.217680444018448,41.0,-27.0,0.0742299453947566,377.0,-227.0,0.1677527378043261,20971.0,-13471.0,0.1482034573264548,13728.94,-8148.44,0.1814342172745648,9687.08,-6091.56,0.1593206021661085,9839.72,-5962.529999999999,0.1729266600295652,0.6786134491809214,0.5761909071710863,0.6795185084623043,0.6079735722689836,0.3502579418951941,0.91183924692252,0.4544713975380159,0,0,0,0,0,0,0,0,0,0,0.768115723475917,1,100.0
1003001371,2023,Physical Medicine and Rehabilitation,130,16377.0,289515.0,142100.1,111029.02,113302.66,0,0,0,0,0,0,125.97692307692309,2227.038461538461,1093.0776923076924,854.0693846153846,17.678146180619162,8.676808939366184,6.779570128839226,2.0374018033766337,1.2798464761735264,1.0204778894743014,2.6075615186011727,4.875197323201151,9.703694249830134,12.57596584217092,11.864294055082675,11.617555894179793,11.637826750113058,4.844005361891958,7.708876863707179,6.997666997194994,6.7511826172410885,2.927354187009784,2.269732191916169,2.051501083301209,211.0,-81.0,0.314781460134486,1245.0,15132.0,0.9685398655139288,269074.5,20440.5,0.5274375600384246,96356.315,45743.785,0.6416906820365034,74417.63,36611.39,0.6444524495677233,73648.025,39654.63500000001,0.6552593659942363,0.986671469740634,0.8016330451488953,0.9244716618635928,0.9248318924111432,0.2549231508165225,0.4338376560999039,0.2451969260326609,0,1,0,0,0,0,0,1,0,0,0.7094547688746174,2,98.0
1003001983,2023,Physical Therapist in Private Practice,24,4094.0,171330.22,113410.04,89393.5,91124.97,0,0,0,0,0,0,170.58333333333334,7138.759166666667,4725.418333333333,3724.7291666666665,41.8491011235955,27.70152418172936,21.83524670249145,1.5107147480064376,1.268660920536728,1.0193690816446386,1.9165847628742585,3.218875824868201,8.31752199628717,12.05135392106277,11.638774020034502,11.4008144380163,11.419998113973095,5.145069057239789,8.873434324606025,8.460922971250774,8.223017861097954,3.757684667544778,3.356950228732758,3.128305250278688,55.0,-31.0,0.1677333549371464,1561.0,2533.0,0.8633963894627402,105050.0,66280.22,0.6966014501559525,42635.43,70774.60999999999,0.8763046677738621,32728.45,56665.05,0.8824482521164986,32545.52,58579.45,0.8919674322517924,0.9976640877114812,0.9797059180945435,0.9980826615897704,0.9980826615897704,0.0956913895302521,0.1824331623008371,0.0877126654064272,0,0,0,0,0,0,1,1,0,0,0.6891537496087065,3,96.0
1003002098,2023,Chiropractic,14,114.0,6495.0,3847.57,2559.18,2871.88,0,0,0,0,0,0,8.142857142857142,463.9285714285714,274.8264285714286,182.79857142857145,56.97368421052632,33.75061403508772,22.44894736842105,1.6880784495148886,1.5034386014270198,1.122187575707844,2.537922303237756,2.70805020110221,4.74493212836325,8.778941881841513,8.255456929713723,7.8478328475018,7.96307028992041,2.2129729343043585,6.1418837839571285,5.61977178590035,5.21384043746794,4.059989187075957,3.548197241929154,3.154825605544523,41.0,-27.0,0.0742299453947566,377.0,-263.0,0.1050924668899146,20971.0,-14476.0,0.116239780372281,13728.94,-9881.37,0.0963586448245693,9687.08,-7127.9,0.0918031797749419,9839.72,-6967.839999999999,0.1070685129876006,0.4441427580173168,0.4751712070473949,0.393157751832745,0.357438078860832,0.6557456180046459,0.8362901279266233,0.7221216509775525,0,0,0,0,0,0,0,0,0,0,0.6739900867362614,4,94.0
1003001363,2023,Pain Management,846,11763.0,1665228.3,614974.62,462027.86,470630.12,0,0,0,0,0,0,13.904255319148936,1968.3549645390071,726.9203546099291,546.1322222222223,141.56493241520022,52.2804233613874,39.27806341919578,2.707800038967462,1.331033630742527,1.018618487638386,3.604172917191617,6.741700694652055,9.372799299673886,14.325473389632185,13.329337903726456,13.043382635645328,13.061829881435807,2.701646764067003,7.585461338947383,6.590191639203401,6.304690495738713,4.959797561996028,3.9755689721725513,3.695806988720293,248.0,598.0,0.9562228654124456,1489.0,10274.0,0.9439218523878437,550330.415,1114897.885,0.8400868306801736,126442.485,488532.135,0.9435600578871202,96533.535,365494.325,0.9356005788712012,97641.895,372988.225,0.93849493487699,0.7894356005788712,0.453328509406657,0.683068017366136,0.6660636758321273,0.2282923299565846,0.7782199710564399,0.2402315484804631,0,0,0,0,0,0,0,0,0,0,0.6713644897034822,5,92.0
1003002312,2023,Rheumatology,279,99007.0,3504510.0,1283588.14,1010862.07,990828.14,0,0,0,0,0,0,354.8637992831541,12560.967741935485,4600.674336917562,3623.161541218638,35.396588120031915,12.964620077368266,10.210006060177562,2.730244921085045,1.2697955320452374,0.9801813416542576,3.4668528021829923,5.634789603169249,11.502955933932736,15.069561553739106,14.065170727602428,13.826315048671503,13.80629738674217,5.874548071363951,9.438429095102691,8.434175502536675,8.195378241560872,3.59447503728333,2.636526993682869,2.4168067776885223,236.0,43.0,0.5770841643398484,1965.0,97042.0,0.8623853211009175,262734.75,3241775.25,0.857399282010371,105728.42,1177859.72,0.8344635021938572,78387.785,932474.285,0.8338651775029916,78245.755,912582.385,0.8292780215396889,0.9495412844036696,0.940566414040686,0.9240127642600718,0.9232149980055844,0.631431990426805,0.2802153968887116,0.587554846429996,0,0,0,0,0,0,0,0,0,0,0.6276871481616212,6,90.0
1003002643,2023,Physician Assistant,44,281.0,37004.04,8999.04,6260.05,6510.43,0,0,0,0,0,0,6.386363636363637,841.0009090909091,204.5236363636364,142.27386363636364,131.68697508896798,32.02505338078292,22.27775800711744,4.111998613185406,1.4375348439708948,1.039996485651073,5.911141284814019,3.80666248977032,5.641907070938114,10.518809398565992,9.104984300752925,8.74210318165816,8.781314373138809,1.9996355484114765,6.735781093922158,5.325561046123284,4.964757929060081,4.887992783461061,3.4972664667820386,3.1474983126893687,110.0,-66.0,0.2292895200894973,225.0,56.0,0.5637052276304063,64324.75,-27320.71,0.340270008911811,16913.559999999998,-7914.519999999997,0.3162934450785946,12679.915,-6419.865000000001,0.2965452511424183,12674.07,-6163.639999999999,0.3119133847816606,0.9024725535182692,0.6997004114602097,0.7364379301844934,0.6924192722653065,0.6617209275867953,0.8654316539941979,0.6975767458616963,0,0,0,0,0,0,0,0,0,0,0.5516722034004595,7,88.0
1003002742,2023,Physical Medicine and Rehabilitation,125,1867.0,458484.18,118367.23,91167.76,86963.29,0,0,0,0,0,0,14.936,3667.87344,946.93784,729.34208,245.57267273701123,63.399694697375466,48.83115158007499,3.8734046576911534,1.2983452703016944,0.9538820521640544,5.029016617277862,4.836281906951478,7.532623618788788,13.035683247364553,11.68155563772302,11.420467573521224,11.373252853604937,2.7685807008422425,8.207639929347689,6.854288930484987,6.593513027122187,5.507656768438063,4.165108892375088,3.908640322202376,211.0,-86.0,0.3029538904899135,1245.0,622.0,0.6191162343900096,269074.5,189409.68,0.6849183477425552,96356.315,22010.914999999997,0.5779298751200769,74417.63,16750.12999999999,0.5767291066282421,73648.025,13315.265,0.5608789625360231,0.8380163304514889,0.9214697406340058,0.8926512968299711,0.8892891450528339,0.7862632084534101,0.5906580211335255,0.7798991354466859,0,0,0,0,0,0,0,0,0,0,0.520173657487814,8,86.0
1003001785,2023,Orthopedic Surgery,291,2880.0,435323.5,177929.97,136114.57,147128.25,0,0,0,0,0,0,9.896907216494846,1495.9570446735397,611.4431958762887,467.74766323024056,151.15399305555556,61.78123958333333,47.26200347222223,2.4466001989434383,1.3072073768443746,1.0809147764269469,3.198213828247777,5.676753802268282,7.965892735084528,12.983847008979762,12.089150945068106,11.821259583271848,11.899066731146206,2.388479007366855,7.311189689735087,6.417456196691663,6.150064592163375,5.024893120202061,4.139656296095168,3.8766445734715886,245.0,46.0,0.586164655849859,1147.0,1733.0,0.785189294133962,464987.0,-29663.5,0.4743216382378773,129566.31,48363.66,0.6369435584523644,99050.01,37064.56000000001,0.6365737530624509,99954.78,47173.47,0.6680072112051033,0.862571071973374,0.3484953543197892,0.6699024638284103,0.6632459668099663,0.1441316507188092,0.5711181990477511,0.1409883049045439,0,0,0,0,0,0,0,0,0,0,0.5012530368876758,9,84.0
1003002627,2023,Obstetrics & Gynecology,228,2546.0,440912.45,158350.47,122578.92,124100.17,0,0,0,0,0,0,11.166666666666666,1933.8265350877195,694.5196052631579,537.6268421052631,173.17849567949725,62.19578554595444,48.14568735271013,2.784408849560093,1.2918246465216043,1.012410372028078,3.596967977854593,5.43372200355424,7.842671474979457,12.99660387666436,11.97257233515704,11.716518504404496,11.728852399028998,2.498699971920336,7.567772955495945,6.544659199698278,6.289023015944567,5.160080610641566,4.146237614529853,3.8947890981393263,47.0,181.0,0.933170438957476,102.0,2444.0,0.9774948559670782,25163.375,415749.075,0.974965706447188,8725.465,149625.005,0.9804098079561042,6697.764999999999,115881.155,0.980238340192044,6686.545,117413.625,0.9810956790123456,0.9692429698216736,0.9566615226337448,0.9796810699588476,0.979338134430727,0.5149605624142661,0.4695216049382716,0.5072873799725651,0,1,0,1,0,1,0,1,0,0,0.47052805031007294,10,82.0
